Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JNJ,10/27/2020,143.740005,144.289993,142.919998,143.149994,139.575775,4890100
JNJ,10/28/2020,141.429993,141.979996,138.179993,138.360001,134.905365,8426100
JNJ,10/29/2020,138,138.699997,136.050003,137.190002,133.764587,7205400
JNJ,10/30/2020,136.679993,137.539993,133.649994,137.110001,133.686584,7364100
JNJ,11/2/2020,138.979996,139.009995,137.490005,138.690002,135.227127,7088000
JNJ,11/3/2020,140.020004,140.960007,137.779999,138.5,135.041901,6363000
JNJ,11/4/2020,139.490005,142.539993,138.699997,139.399994,135.919403,10263500
JNJ,11/5/2020,140.550003,141.830002,139.259995,139.759995,136.270401,8016200
JNJ,11/6/2020,140.399994,143.190002,139.649994,142.25,138.698257,5942500
JNJ,11/9/2020,148.429993,148.990005,144.919998,146.080002,142.432617,12351600
JNJ,11/10/2020,147.25,148.75,146.259995,148.279999,144.577698,7386500
JNJ,11/11/2020,149.169998,149.199997,146.860001,147.800003,144.10968,6382400
JNJ,11/12/2020,147.610001,148.649994,146.75,148.300003,144.597198,4710300
JNJ,11/13/2020,149.089996,150.410004,148.410004,149.899994,146.157242,5893500
JNJ,11/16/2020,150.919998,151.300003,149.800003,150.850006,147.083527,6266400
JNJ,11/17/2020,150,150.630005,149.119995,149.350006,145.620972,7297700
JNJ,11/18/2020,148.869995,149.759995,147.369995,147.369995,143.690399,6661000
JNJ,11/19/2020,147.300003,147.460007,145.589996,147.139999,143.466141,7987700
JNJ,11/20/2020,147.050003,147.940002,146.130005,146.360001,142.705612,6354900
JNJ,11/23/2020,146.009995,146.009995,143.039993,143.869995,141.252548,7318300
JNJ,11/24/2020,144,144.759995,143.610001,143.869995,141.252548,11034800
JNJ,11/25/2020,144.059998,144.169998,142.860001,143.679993,141.06601,7594600
JNJ,11/27/2020,144.5,144.660004,143.220001,144,141.380188,3059000
JNJ,11/30/2020,144.229996,144.860001,143.059998,144.679993,142.047806,15663200
JNJ,12/1/2020,146.289993,149.130005,145.860001,147.449997,144.76741,9738200
JNJ,12/2/2020,147.850006,149.710007,147.699997,148.139999,145.444855,7745500
JNJ,12/3/2020,148.039993,149.580002,147.690002,149,146.289215,7310500
JNJ,12/4/2020,149.789993,150.309998,149.270004,150.270004,147.536102,6747100
JNJ,12/7/2020,149.350006,149.910004,148.509995,148.970001,146.259766,6634700
JNJ,12/8/2020,150,152.139999,149.550003,151.550003,148.792831,8339800
JNJ,12/9/2020,152.830002,153.5,151.759995,153.100006,150.314636,8440100
